formula,gen,out_of_range,tc_ideal_K
Fe3.09As0.8Ca3.56,iron,False,10.0
Tl1.3Cu3.86O4.44,cuprate,False,32.1
V3.23Hg3.9O2.54Ge5.47H5.06,random,False,12.61
Ge2.97Se3.33P5.68,random,False,3.91
As0.46Sb1.02Ni2.03,random,False,2.51
Nd1.16Sr3.36Cu4.62O3.44,cuprate,False,56.22
Fe2.47Te2.51Sr3.94,iron,False,8.54
O5.06Se4.57Zr5.32,random,False,6.06
Sn1.26Sr2.88,random,False,3.74
Pb1.34O2.9Sr2.08Bi4.98,random,False,9.37
Fe2.69As4.33Bi0.39,iron,False,5.75
Tl4.78Cu4.89O5.37,cuprate,False,29.27
Hg3.28Cu4.28O1.04,cuprate,False,33.0
Ti5.78Ni1.27C3.65,random,False,9.2
Sr5.1La4.37Cu1.86O4.11,cuprate,False,48.88
Fe3.32P3.5La2.43,iron,False,7.41
Fe4.18P4.0Nd2.29,iron,False,8.06
Si4.5Ge1.98Rb3.43Fe4.79,random,False,8.16
Bi0.47Ca3.35Cu3.9O0.86,cuprate,False,41.78
Ge0.24Sn5.74S4.92Y5.58,random,False,6.01
Fe1.65P4.18Hg4.61,iron,False,8.17
Sn2.32V3.53Ni4.6Fe0.31,random,False,3.11
Hg4.64Bi1.84Cu0.47O4.01,cuprate,False,26.02
Fe2.72Te0.46Tl0.99,iron,False,5.93
Sn1.83H2.26Se1.99As0.8Si1.56,random,False,5.41
Bi1.66Hg0.27Cu4.09O5.97,cuprate,False,29.89
H5.28S1.84Nb4.28,random,False,5.07
Fe5.46Te3.53La3.31,iron,False,6.01
Ca0.78Cu5.87O5.85,cuprate,False,38.1
Co5.38Te1.28,random,False,3.49
Ca2.59Cu0.58O0.99,cuprate,False,37.6
Ca0.85Nd2.09Cu2.77O3.42,cuprate,False,50.04
Ba1.99Ca4.9Cu1.96O4.15,cuprate,False,58.95
As5.91Fe5.93Se5.08,random,False,5.82
Tl2.41Cu4.41O1.46,cuprate,False,30.1
Sr4.44Nd1.43Cu4.04O1.96,cuprate,False,50.87
Bi1.47Pb0.33Rb1.39Mo2.28Ni0.58,random,False,3.74
S4.39Se2.88,random,False,3.42
Nd4.11Y4.73Cu5.52O0.77,cuprate,False,40.64
Fe0.84Te1.59La2.36,iron,False,4.55
La0.76Nd0.96Cu1.61O0.23,cuprate,False,35.86
Y2.25Hg1.63Cu1.19O2.16,cuprate,False,54.43
O5.72K4.1Ti5.19,random,False,18.09
Ca2.06Cu3.52O0.11,cuprate,False,25.04
La3.72V4.2F2.57Rb0.71Ca5.82,random,False,48.7
La1.25Nd2.96Cu4.11O2.39,cuprate,False,38.33
La5.92Y3.03Cu4.77O0.97,cuprate,False,39.22
Rb1.27Nb1.61Te3.49As5.46,random,False,4.61
Ca0.87Hg3.25Cu1.54O4.64,cuprate,False,59.76
Ba4.29Y0.84Cu1.76O2.91,cuprate,False,53.82
Bi1.44Cu0.32O5.28,cuprate,False,4.93
Si0.64Sr1.07Sn1.23Ba4.68Ni5.42,random,False,10.67
Nb5.46Ge4.75Pb5.09Hg2.81Sn2.34,random,False,5.78
Hg4.56Se0.92Fe5.34P5.29,random,False,12.23
La0.81As4.6Co0.68Rb1.39,random,False,4.17
Ca3.19Sn1.87Rb1.5,random,False,4.58
Fe2.57P4.7Ba0.6,iron,False,10.71
Fe5.04V3.64S5.93Te1.78,random,False,8.73
Sb0.37Pb2.38Ti4.31,random,False,5.98
Mg0.5Sb3.39Sr2.55,random,False,8.32
La0.43H2.49,random,False,5.04
Si3.06Fe0.93Ba3.42Ni4.39,random,False,10.45
Fe2.66As5.42La4.31,iron,False,5.28
O3.14Sr2.66Si2.4Ca4.12,random,False,35.24
